start_profile,strategy,weather_seed,status,loss_reason,months_played,final_budget,final_energy_autarky,final_citizen_satisfaction,final_supply_security,final_score,demand_growth_cap
current,balanced,33,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,34,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,35,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,36,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,37,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,38,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,39,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,40,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,41,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,42,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,43,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,44,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,45,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,46,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,47,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,48,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,49,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,50,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,51,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,52,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,53,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,54,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,55,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,56,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,57,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,58,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,59,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,60,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,61,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,62,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,63,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,64,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,65,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,66,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,67,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,68,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,69,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,70,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,71,lost,bankrupt,6,0,45,74,12,12,2.0
